Name,Formula,Solubility at 20°C
Sodium dichromate,Na2Cr2O7,183.0
Monosodium phosphate,NaH2PO4,86.9
Sodium fluoride,NaF,4.06
Sodium formate,HCOONa,81.2
Sodium hydrogen carbonate,NaHCO3,9.6
Sodium hydroxide,NaOH,109.0
Sodium iodate,NaIO3,8.08
Sodium iodide,NaI,178.0
Sodium metabisulfite,Na2S2O5,65.3
Sodium metaborate,NaBO2,25.4
Sodium molybdate,Na2MoO4,65.3
Sodium nitrate,NaNO3,87.6
Sodium nitrite,NaNO2,80.8
Sodium oxalate,Na2C2O4,3.41
Sodium perchlorate,NaClO4,201.0
Sodium periodate,NaIO4,10.3
Sodium permanganate,NaMnO4,90.0
Sodium phosphate,Na3PO4,12.1
Sodium pyrophosphate,Na4P2O7,
Sodium selenate,Na2SeO4,26.9
Sodium sulfate,Na2SO4,19.5
Sodium sulfite,Na2SO3,27.0
Sodium tetraborate (decahydrate),Na2B4O7,2.5
Sodium tetrafluoroborate,NaBF4,85.0
Sodium tetraphenylborate,NaB(C6H5)4,47.0
Sodium thiosulfate,Na2S2O3,73.0
Strontium acetate,Sr(C2H3O2)2,41.1
Strontium bromate,Sr(BrO3)2,30.9
Strontium bromide,SrBr2,102.0
Strontium carbonate,SrCO3,0.0011
Strontium chlorate,Sr(ClO3)2,175.0
Strontium chloride,SrCl2,52.9
Strontium chromate,SrCrO4,0.085
Strontium fluoride,SrF2,0.00012
Strontium formate,Sr(HCO2)2,12.7
Strontium hydroxide,Sr(OH)2,
Strontium iodate,Sr(IO3)2,0.19
Strontium iodide,SrI2,178.0
Strontium molybdate,SrMoO4,0.01107
Strontium nitrate,Sr(NO3)2,70.8
Strontium perchlorate,Sr(ClO4)2,291.7
Strontium selenate,SrSeO4,0.656
Strontium sulfate,SrSO4,0.0132
Strontium thiosulfate,SrS2O3·5H2O,2.5
Strontium tungstate,SrWO4,0.0003957
Sucrose,C12H22O11,201.9
Sulfur dioxide,SO2,9.4
Terbium bromate,Tb(BrO3)3·9H2O,117.0
Terbium sulfate,Tb2(SO4)3·8H2O,3.56
Thallium(I) azide,TlN3,0.364
Thallium(I) bromate,TlBrO3,0.306
Thallium(I) bromide,TlBr,0.0476
Thallium(I) carbonate,Tl2CO3,5.3
Thallium(I) chlorate,TlClO3,3.92
Thallium(I) chloride,TlCl,0.34
